id,date,debit,credit,amount_cents,currency,canary
t000116,2026-01-03,2000,1000,104515,USD,cdb404201976da67
t000117,2026-01-03,2000,1000,154721,USD,cdb404201976da67
t000118,2026-01-03,1200,3000,215549,USD,cdb404201976da67
t000119,2026-01-03,6000,1000,185323,USD,cdb404201976da67
t000120,2026-01-04,4471,3000,21752,USD,cdb404201976da67
t000121,2026-01-04,4000,2000,53879,USD,cdb404201976da67
t000122,2026-01-04,1200,3000,115099,USD,cdb404201976da67
t000123,2026-01-04,4000,1000,20908,USD,cdb404201976da67
t000124,2026-01-04,6000,1000,106112,USD,cdb404201976da67
t000125,2026-01-04,4471,3000,39968,USD,cdb404201976da67
t000126,2026-01-04,6000,1000,213485,USD,cdb404201976da67
t000127,2026-01-04,1000,4471,144174,USD,cdb404201976da67
t000128,2026-01-04,6000,1000,141914,USD,cdb404201976da67
t000129,2026-01-04,1000,1200,4298,USD,cdb404201976da67
t000130,2026-01-04,1000,3000,88697,USD,cdb404201976da67
t000131,2026-01-04,4000,1000,110819,USD,cdb404201976da67
t000132,2026-01-04,4000,1000,38247,USD,cdb404201976da67
t000133,2026-01-04,6000,1000,217387,USD,cdb404201976da67
t000134,2026-01-04,1000,4471,27433,USD,cdb404201976da67
t000135,2026-01-04,1200,3000,170414,USD,cdb404201976da67
t000136,2026-01-04,1200,3000,156063,USD,cdb404201976da67
t000137,2026-01-04,1000,1200,7694,USD,cdb404201976da67
t000138,2026-01-04,6000,1000,4363,USD,cdb404201976da67
t000139,2026-01-04,1000,4471,1270,USD,cdb404201976da67
t000140,2026-01-04,1000,3000,14407,USD,cdb404201976da67
t000141,2026-01-04,1000,1200,45961,USD,cdb404201976da67
t000142,2026-01-04,4000,1000,195249,USD,cdb404201976da67
t000143,2026-01-04,2000,1000,64574,USD,cdb404201976da67
t000144,2026-01-04,2000,1000,146410,USD,cdb404201976da67
t000145,2026-01-04,1200,3000,213221,USD,cdb404201976da67
t000146,2026-01-04,1000,3000,163096,USD,cdb404201976da67
t000147,2026-01-04,1000,3000,198298,USD,cdb404201976da67
t000148,2026-01-04,2000,1000,33207,USD,cdb404201976da67
t000149,2026-01-04,4471,3000,80922,USD,cdb404201976da67
t000150,2026-01-04,4000,1000,3148,USD,cdb404201976da67
t000151,2026-01-04,4000,2000,56827,USD,cdb404201976da67
t000152,2026-01-04,4471,3000,183829,USD,cdb404201976da67
t000153,2026-01-04,6000,1000,188010,USD,cdb404201976da67
t000154,2026-01-04,1000,3000,219918,USD,cdb404201976da67
t000155,2026-01-04,1000,1200,6356,USD,cdb404201976da67
t000156,2026-01-04,1000,1200,8358,USD,cdb404201976da67
t000157,2026-01-04,1000,3000,157787,USD,cdb404201976da67
t000158,2026-01-04,2000,1000,7710,USD,cdb404201976da67
t000159,2026-01-04,2000,1000,834,USD,cdb404201976da67
t000160,2026-01-05,4000,1000,4358,USD,cdb404201976da67
t000161,2026-01-05,1200,3000,225002,USD,cdb404201976da67
t000162,2026-01-05,4000,2000,194776,USD,cdb404201976da67
t000163,2026-01-05,4471,3000,224412,USD,cdb404201976da67
t000164,2026-01-05,4000,1000,4841,USD,cdb404201976da67
t000165,2026-01-05,1200,3000,81084,USD,cdb404201976da67
t000166,2026-01-05,4471,3000,8233,USD,cdb404201976da67
t000167,2026-01-05,1000,3000,3064,USD,cdb404201976da67
t000168,2026-01-05,4000,1000,47675,USD,cdb404201976da67
t000169,2026-01-05,6000,1000,200453,USD,cdb404201976da67
t000170,2026-01-05,4000,2000,214423,USD,cdb404201976da67
t000171,2026-01-05,1200,3000,5683,USD,cdb404201976da67
t000172,2026-01-05,4000,2000,12477,USD,cdb404201976da67
t000173,2026-01-05,4000,1000,193594,USD,cdb404201976da67
t000174,2026-01-05,4000,2000,9267,USD,cdb404201976da67
t000175,2026-01-05,1200,3000,6809,USD,cdb404201976da67
t000176,2026-01-05,4000,1000,1425,USD,cdb404201976da67
t000177,2026-01-05,4000,2000,115832,USD,cdb404201976da67
t000178,2026-01-05,1000,3000,1059,USD,cdb404201976da67
t000179,2026-01-05,1000,1200,79995,USD,cdb404201976da67
t000180,2026-01-05,2000,1000,50815,USD,cdb404201976da67
t000181,2026-01-05,1000,1200,206942,USD,cdb404201976da67
t000182,2026-01-05,1000,4471,7666,USD,cdb404201976da67
t000183,2026-01-05,1000,3000,557,USD,cdb404201976da67
t000184,2026-01-05,4000,2000,105893,USD,cdb404201976da67
t000185,2026-01-05,6000,1000,89212,USD,cdb404201976da67
t000186,2026-01-05,1000,4471,86013,USD,cdb404201976da67
t000187,2026-01-05,1000,1200,173072,USD,cdb404201976da67
t000188,2026-01-05,4000,1000,128110,USD,cdb404201976da67
t000189,2026-01-05,1000,3000,2585,USD,cdb404201976da67
t000190,2026-01-05,6000,1000,137797,USD,cdb404201976da67
t000191,2026-01-05,4000,1000,8284,USD,cdb404201976da67
t000192,2026-01-05,1000,4471,245708,USD,cdb404201976da67
t000193,2026-01-05,4000,2000,213047,USD,cdb404201976da67
t000194,2026-01-05,4000,1000,223465,USD,cdb404201976da67
t000195,2026-01-05,1000,1200,165962,USD,cdb404201976da67
t000196,2026-01-05,4471,3000,2392,USD,cdb404201976da67
t000197,2026-01-05,1000,4471,237466,USD,cdb404201976da67
t000198,2026-01-05,1000,1200,9302,USD,cdb404201976da67
t000199,2026-01-05,4000,2000,6456,USD,cdb404201976da67
t000200,2026-01-06,6000,1000,59474,USD,cdb404201976da67
t000201,2026-01-06,1000,4471,51815,USD,cdb404201976da67
t000202,2026-01-06,4000,1000,97918,USD,cdb404201976da67
t000203,2026-01-06,4000,1000,1369,USD,cdb404201976da67
t000204,2026-01-06,1000,3000,225881,USD,cdb404201976da67
t000205,2026-01-06,1000,3000,170743,USD,cdb404201976da67
t000206,2026-01-06,1000,1200,9701,USD,cdb404201976da67
t000207,2026-01-06,4471,3000,36216,USD,cdb404201976da67
t000208,2026-01-06,1000,4471,160117,USD,cdb404201976da67
t000209,2026-01-06,4000,1000,8415,USD,cdb404201976da67
t000210,2026-01-06,1000,3000,173213,USD,cdb404201976da67
t000211,2026-01-06,1200,3000,166041,USD,cdb404201976da67
t000212,2026-01-06,1000,1200,7699,USD,cdb404201976da67
t000213,2026-01-06,6000,1000,3224,USD,cdb404201976da67
t000214,2026-01-06,1000,4471,1325,USD,cdb404201976da67
t000215,2026-01-06,4000,1000,9823,USD,cdb404201976da67
t000216,2026-01-06,6000,1000,17621,USD,cdb404201976da67
t000217,2026-01-06,1000,3000,213996,USD,cdb404201976da67
t000218,2026-01-06,1000,1200,156953,USD,cdb404201976da67
t000219,2026-01-06,4000,1000,218031,USD,cdb404201976da67
t000220,2026-01-06,1000,1200,150154,USD,cdb404201976da67
t000221,2026-01-06,6000,1000,7558,USD,cdb404201976da67
t000222,2026-01-06,1200,3000,7080,USD,cdb404201976da67
t000223,2026-01-06,1000,3000,18207,USD,cdb404201976da67
t000224,2026-01-06,1200,3000,9548,USD,cdb404201976da67
t000225,2026-01-06,1000,1200,43870,USD,cdb404201976da67
t000226,2026-01-06,1000,3000,5845,USD,cdb404201976da67
t000227,2026-01-06,4000,2000,16901,USD,cdb404201976da67
t000228,2026-01-06,1000,4471,141079,USD,cdb404201976da67
t000229,2026-01-06,4000,2000,1817,USD,cdb404201976da67
t000230,2026-01-06,4000,2000,13385,USD,cdb404201976da67
t000231,2026-01-06,6000,1000,181912,USD,cdb404201976da67
t000232,2026-01-06,1200,3000,115481,USD,cdb404201976da67
t000233,2026-01-06,4000,2000,248103,USD,cdb404201976da67
t000234,2026-01-06,1200,3000,43520,USD,cdb404201976da67
t000235,2026-01-06,2000,1000,93643,USD,cdb404201976da67
t000236,2026-01-06,1000,3000,42372,USD,cdb404201976da67
t000237,2026-01-06,1000,3000,151929,USD,cdb404201976da67
t000238,2026-01-06,1000,4471,5698,USD,cdb404201976da67
t000239,2026-01-06,6000,1000,106704,USD,cdb404201976da67
t000240,2026-01-07,6000,1000,191700,USD,cdb404201976da67
t000241,2026-01-07,2000,1000,173004,USD,cdb404201976da67
t000242,2026-01-07,1000,1200,8577,USD,cdb404201976da67
t000243,2026-01-07,4000,1000,80590,USD,cdb404201976da67
t000244,2026-01-07,1200,3000,2132,USD,cdb404201976da67
t000245,2026-01-07,4000,1000,43221,USD,cdb404201976da67
t000246,2026-01-07,1000,1200,217354,USD,cdb404201976da67
t000247,2026-01-07,1200,3000,82654,USD,cdb404201976da67
t000248,2026-01-07,4000,2000,8977,USD,cdb404201976da67
t000249,2026-01-07,1200,3000,114865,USD,cdb404201976da67
t000250,2026-01-07,1200,3000,75368,USD,cdb404201976da67
t000251,2026-01-07,4000,2000,2018,USD,cdb404201976da67
t000252,2026-01-07,1000,4471,128286,USD,cdb404201976da67
t000253,2026-01-07,4471,3000,3821,USD,cdb404201976da67
t000254,2026-01-07,4000,2000,2933,USD,cdb404201976da67
t000255,2026-01-07,4000,1000,7744,USD,cdb404201976da67
t000256,2026-01-07,4471,3000,201207,USD,cdb404201976da67
t000257,2026-01-07,4000,2000,4463,USD,cdb404201976da67
t000258,2026-01-07,4471,3000,2971,USD,cdb404201976da67
t000259,2026-01-07,6000,1000,9026,USD,cdb404201976da67
t000260,2026-01-07,6000,1000,31632,USD,cdb404201976da67
t000261,2026-01-07,4000,1000,236036,USD,cdb404201976da67
t000262,2026-01-07,6000,1000,23649,USD,cdb404201976da67
t000263,2026-01-07,4471,3000,6038,USD,cdb404201976da67
t000264,2026-01-07,6000,1000,151029,USD,cdb404201976da67
t000265,2026-01-07,4471,3000,3241,USD,cdb404201976da67
t000266,2026-01-07,4000,1000,71591,USD,cdb404201976da67
t000267,2026-01-07,4000,2000,16798,USD,cdb404201976da67
t000268,2026-01-07,1000,1200,3347,USD,cdb404201976da67
t000269,2026-01-07,6000,1000,9899,USD,cdb404201976da67
t000270,2026-01-07,1000,3000,132134,USD,cdb404201976da67
t000271,2026-01-07,2000,1000,120083,USD,cdb404201976da67
t000272,2026-01-07,1000,3000,3979,USD,cdb404201976da67
t000273,2026-01-07,1000,4471,211526,USD,cdb404201976da67
t000274,2026-01-07,1000,1200,105177,USD,cdb404201976da67
t000275,2026-01-07,1200,3000,8332,USD,cdb404201976da67
t000276,2026-01-07,1200,3000,43266,USD,cdb404201976da67
t000277,2026-01-07,2000,1000,113896,USD,cdb404201976da67
t000278,2026-01-07,1000,3000,149415,USD,cdb404201976da67
t000279,2026-01-07,4000,1000,117757,USD,cdb404201976da67
t000280,2026-01-08,4000,1000,42147,USD,cdb404201976da67
t000281,2026-01-08,2000,1000,4738,USD,cdb404201976da67
t000282,2026-01-08,4471,3000,113802,USD,cdb404201976da67
t000283,2026-01-08,4471,3000,70095,USD,cdb404201976da67
t000284,2026-01-08,2000,1000,108863,USD,cdb404201976da67
t000285,2026-01-08,6000,1000,7973,USD,cdb404201976da67
t000286,2026-01-08,4471,3000,3395,USD,cdb404201976da67
t000287,2026-01-08,2000,1000,162153,USD,cdb404201976da67
t000288,2026-01-08,2000,1000,60061,USD,cdb404201976da67
t000289,2026-01-08,1000,3000,89873,USD,cdb404201976da67
t000290,2026-01-08,4000,2000,56499,USD,cdb404201976da67
t000291,2026-01-08,1000,3000,169054,USD,cdb404201976da67
t000292,2026-01-08,1000,3000,137299,USD,cdb404201976da67
t000293,2026-01-08,1200,3000,235167,USD,cdb404201976da67
t000294,2026-01-08,6000,1000,1269,USD,cdb404201976da67
t000295,2026-01-08,6000,1000,108984,USD,cdb404201976da67
t000296,2026-01-08,4471,3000,3126,USD,cdb404201976da67
t000297,2026-01-08,1000,1200,43944,USD,cdb404201976da67
t000298,2026-01-08,2000,1000,7487,USD,cdb404201976da67
t000299,2026-01-08,1200,3000,90365,USD,cdb404201976da67
t000300,2026-01-08,1000,1200,245801,USD,cdb404201976da67
t000301,2026-01-08,1000,4471,129117,USD,cdb404201976da67
t000302,2026-01-08,1000,1200,188755,USD,cdb404201976da67
t000303,2026-01-08,1000,1200,589,USD,cdb404201976da67
t000304,2026-01-08,1200,3000,19965,USD,cdb404201976da67
t000305,2026-01-08,1200,3000,106353,USD,cdb404201976da67
t000306,2026-01-08,1000,3000,194070,USD,cdb404201976da67
t000307,2026-01-08,1000,1200,2836,USD,cdb404201976da67
t000308,2026-01-08,2000,1000,156573,USD,cdb404201976da67
t000309,2026-01-08,4000,2000,155767,USD,cdb404201976da67
t000310,2026-01-08,2000,1000,60716,USD,cdb404201976da67
t000311,2026-01-08,4000,2000,6666,USD,cdb404201976da67
t000312,2026-01-08,1000,4471,204027,USD,cdb404201976da67
t000313,2026-01-08,1000,1200,223035,USD,cdb404201976da67
t000314,2026-01-08,1000,3000,189798,USD,cdb404201976da67
t000315,2026-01-08,4471,3000,8822,USD,cdb404201976da67
t000316,2026-01-08,1200,3000,9768,USD,cdb404201976da67
t000317,2026-01-08,1200,3000,232602,USD,cdb404201976da67
t000318,2026-01-08,1000,1200,140573,USD,cdb404201976da67
t000319,2026-01-08,1000,1200,208012,USD,cdb404201976da67
t000320,2026-01-09,1000,1200,107187,USD,cdb404201976da67
t000321,2026-01-09,6000,1000,7482,USD,cdb404201976da67
t000322,2026-01-09,1000,3000,4348,USD,cdb404201976da67
t000323,2026-01-09,1000,3000,6654,USD,cdb404201976da67
t000324,2026-01-09,4000,1000,6174,USD,cdb404201976da67
t000325,2026-01-09,1200,3000,9019,USD,cdb404201976da67
t000326,2026-01-09,2000,1000,110642,USD,cdb404201976da67
t000327,2026-01-09,1000,3000,6177,USD,cdb404201976da67
t000328,2026-01-09,6000,1000,550,USD,cdb404201976da67
t000329,2026-01-09,1000,1200,6287,USD,cdb404201976da67
t000330,2026-01-09,4000,2000,94452,USD,cdb404201976da67
t000331,2026-01-09,1000,3000,73374,USD,cdb404201976da67
t000332,2026-01-09,1000,1200,21962,USD,cdb404201976da67
t000333,2026-01-09,1200,3000,4164,USD,cdb404201976da67
t000334,2026-01-09,4000,2000,2688,USD,cdb404201976da67
t000335,2026-01-09,4000,2000,119628,USD,cdb404201976da67
t000336,2026-01-09,1000,3000,110970,USD,cdb404201976da67
t000337,2026-01-09,4000,1000,200221,USD,cdb404201976da67
t000338,2026-01-09,4000,2000,8596,USD,cdb404201976da67
t000339,2026-01-09,6000,1000,133161,USD,cdb404201976da67
t000340,2026-01-09,2000,1000,203227,USD,cdb404201976da67
t000341,2026-01-09,6000,1000,2237,USD,cdb404201976da67
t000342,2026-01-09,2000,1000,9081,USD,cdb404201976da67
t000343,2026-01-09,4000,2000,161590,USD,cdb404201976da67
t000344,2026-01-09,1000,1200,35794,USD,cdb404201976da67
t000345,2026-01-09,4000,2000,86563,USD,cdb404201976da67
t000346,2026-01-09,4000,2000,122304,USD,cdb404201976da67
t000347,2026-01-09,4471,3000,31654,USD,cdb404201976da67
t000348,2026-01-09,1200,3000,126972,USD,cdb404201976da67
t000349,2026-01-09,1000,4471,2311,USD,cdb404201976da67
t000350,2026-01-09,1000,3000,94227,USD,cdb404201976da67
t000351,2026-01-09,2000,1000,150430,USD,cdb404201976da67
t000352,2026-01-09,2000,1000,3595,USD,cdb404201976da67
t000353,2026-01-09,1000,4471,4812,USD,cdb404201976da67
t000354,2026-01-09,1000,4471,61652,USD,cdb404201976da67
t000355,2026-01-09,4471,3000,7026,USD,cdb404201976da67
t000356,2026-01-09,4471,3000,663,USD,cdb404201976da67
t000357,2026-01-09,1000,3000,10731,USD,cdb404201976da67
t000358,2026-01-09,1000,3000,157011,USD,cdb404201976da67
t000359,2026-01-09,4000,1000,21361,USD,cdb404201976da67
t000360,2026-01-10,1000,3000,165130,USD,cdb404201976da67
t000361,2026-01-10,4000,2000,8819,USD,cdb404201976da67
t000362,2026-01-10,4000,1000,7307,USD,cdb404201976da67
t000363,2026-01-10,1000,1200,140497,USD,cdb404201976da67
t000364,2026-01-10,6000,1000,86422,USD,cdb404201976da67
t000365,2026-01-10,6000,1000,142579,USD,cdb404201976da67
t000366,2026-01-10,4000,2000,118888,USD,cdb404201976da67
t000367,2026-01-10,4000,1000,233664,USD,cdb404201976da67
t000368,2026-01-10,6000,1000,137213,USD,cdb404201976da67
t000369,2026-01-10,4000,1000,112840,USD,cdb404201976da67
t000370,2026-01-10,6000,1000,220180,USD,cdb404201976da67
t000371,2026-01-10,2000,1000,65543,USD,cdb404201976da67
t000372,2026-01-10,1000,4471,3105,USD,cdb404201976da67
t000373,2026-01-10,1000,3000,215903,USD,cdb404201976da67
t000374,2026-01-10,4000,1000,6538,USD,cdb404201976da67
t000375,2026-01-10,6000,1000,35041,USD,cdb404201976da67
t000376,2026-01-10,4000,2000,370,USD,cdb404201976da67
t000377,2026-01-10,1000,3000,142546,USD,cdb404201976da67
t000378,2026-01-10,2000,1000,8572,USD,cdb404201976da67
t000379,2026-01-10,1000,4471,2761,USD,cdb404201976da67
t000380,2026-01-10,1200,3000,4246,USD,cdb404201976da67
t000381,2026-01-10,2000,1000,36100,USD,cdb404201976da67
t000382,2026-01-10,4000,2000,3657,USD,cdb404201976da67
t000383,2026-01-10,1000,3000,110137,USD,cdb404201976da67
t000384,2026-01-10,1200,3000,244805,USD,cdb404201976da67
t000385,2026-01-10,2000,1000,3144,USD,cdb404201976da67
t000386,2026-01-10,1200,3000,7421,USD,cdb404201976da67
t000387,2026-01-10,6000,1000,114651,USD,cdb404201976da67
t000388,2026-01-10,6000,1000,102613,USD,cdb404201976da67
t000389,2026-01-10,2000,1000,238282,USD,cdb404201976da67
t000390,2026-01-10,2000,1000,247353,USD,cdb404201976da67
t000391,2026-01-10,6000,1000,7727,USD,cdb404201976da67
t000392,2026-01-10,4000,1000,65618,USD,cdb404201976da67
t000393,2026-01-10,1200,3000,182038,USD,cdb404201976da67
t000394,2026-01-10,1200,3000,157932,USD,cdb404201976da67
t000395,2026-01-10,6000,1000,54470,USD,cdb404201976da67
t000396,2026-01-10,4000,1000,545,USD,cdb404201976da67
t000397,2026-01-10,1000,3000,7445,USD,cdb404201976da67
t000398,2026-01-10,4000,1000,48013,USD,cdb404201976da67
t000399,2026-01-10,1000,1200,53713,USD,cdb404201976da67
t000400,2026-01-11,4000,1000,3569,USD,cdb404201976da67
t000401,2026-01-11,2000,1000,40843,USD,cdb404201976da67
t000402,2026-01-11,4000,2000,681,USD,cdb404201976da67
t000403,2026-01-11,1200,3000,2450,USD,cdb404201976da67
t000404,2026-01-11,4000,2000,3932,USD,cdb404201976da67
t000405,2026-01-11,4000,1000,105797,USD,cdb404201976da67
t000406,2026-01-11,1000,3000,219672,USD,cdb404201976da67
t000407,2026-01-11,1000,4471,111705,USD,cdb404201976da67
t000408,2026-01-11,4000,2000,138301,USD,cdb404201976da67
t000409,2026-01-11,4000,2000,967,USD,cdb404201976da67
t000410,2026-01-11,4000,2000,244198,USD,cdb404201976da67
t000411,2026-01-11,2000,1000,210454,USD,cdb404201976da67
t000412,2026-01-11,4471,3000,240452,USD,cdb404201976da67
t000413,2026-01-11,1200,3000,4589,USD,cdb404201976da67
t000414,2026-01-11,4000,2000,222401,USD,cdb404201976da67
t000415,2026-01-11,4000,2000,182172,USD,cdb404201976da67
t000416,2026-01-11,4000,2000,46246,USD,cdb404201976da67
t000417,2026-01-11,1000,3000,10517,USD,cdb404201976da67
t000418,2026-01-11,1200,3000,19104,USD,cdb404201976da67
t000419,2026-01-11,1000,1200,6082,USD,cdb404201976da67
t000420,2026-01-11,1000,3000,151313,USD,cdb404201976da67
t000421,2026-01-11,2000,1000,71262,USD,cdb404201976da67
t000422,2026-01-11,4000,1000,4416,USD,cdb404201976da67
t000423,2026-01-11,1000,3000,110615,USD,cdb404201976da67
t000424,2026-01-11,1000,3000,172819,USD,cdb404201976da67
t000425,2026-01-11,1000,3000,2920,USD,cdb404201976da67
t000426,2026-01-11,1000,1200,141155,USD,cdb404201976da67
t000427,2026-01-11,2000,1000,4593,USD,cdb404201976da67
t000428,2026-01-11,4471,3000,52900,USD,cdb404201976da67
t000429,2026-01-11,1000,3000,3513,USD,cdb404201976da67
t000430,2026-01-11,1200,3000,234855,USD,cdb404201976da67
t000431,2026-01-11,4000,2000,7431,USD,cdb404201976da67
t000432,2026-01-11,6000,1000,129999,USD,cdb404201976da67
t000433,2026-01-11,4000,1000,185300,USD,cdb404201976da67
t000434,2026-01-11,6000,1000,2990,USD,cdb404201976da67
t000435,2026-01-11,4000,1000,3841,USD,cdb404201976da67
t000436,2026-01-11,2000,1000,7679,USD,cdb404201976da67
