sku,description,qty,unit_price
OSL-00056,gasket 44mm,20,785.20
OSL-00057,coupler 45mm,23,48.98
OSL-00058,insert 33mm,15,802.78
OSL-00059,bearing 9mm,16,144.56
OSL-00060,bolt 39mm,20,5.27
OSL-00061,gasket 16mm,27,772.10
OSL-00062,bearing 55mm,9,620.55
OSL-00063,sleeve 54mm,16,194.74
OSL-00064,bolt 24mm,19,871.47
OSL-00065,sleeve 24mm,13,916.00
OSL-00066,flange 43mm,14,592.41
OSL-00067,coupler 10mm,10,563.00
OSL-00068,gasket 59mm,2,234.25
OSL-00069,sleeve 29mm,36,751.99
OSL-00070,bracket 3mm,35,82.42
OSL-00071,gasket 4mm,24,49.71
OSL-00072,valve 32mm,22,598.45
OSL-00073,flange 49mm,19,817.62
OSL-00074,flange 24mm,16,821.54
OSL-00075,insert 6mm,27,308.33
OSL-00076,sleeve 40mm,29,29.16
OSL-00077,sleeve 24mm,19,59.22
OSL-00078,housing 40mm,13,741.23
OSL-00079,washer 5mm,17,213.04
OSL-00080,bolt 48mm,15,848.21
OSL-00081,valve 6mm,25,280.21
OSL-00082,bearing 54mm,35,306.80
OSL-00083,flange 29mm,36,656.78
OSL-00084,bearing 44mm,5,802.06
OSL-00085,bracket 33mm,17,388.47
OSL-00086,flange 42mm,27,393.79
OSL-00087,bearing 36mm,32,553.11
OSL-00088,housing 47mm,17,893.40
OSL-00089,bearing 16mm,22,895.73
OSL-00090,flange 33mm,25,213.33
OSL-00091,insert 27mm,12,655.01
OSL-00092,sleeve 4mm,17,151.88
OSL-00093,bolt 47mm,16,845.13
OSL-00094,flange 8mm,19,19.04
OSL-00095,housing 8mm,5,375.18
OSL-00096,insert 3mm,20,435.65
OSL-00097,gasket 8mm,20,170.47
OSL-00098,gasket 54mm,24,396.94
OSL-00099,flange 20mm,2,760.89
OSL-00100,washer 56mm,21,242.43
OSL-00101,coupler 54mm,33,902.84
OSL-00102,bearing 42mm,12,968.53
OSL-00103,housing 4mm,23,962.17
OSL-00104,valve 54mm,5,849.72
OSL-00105,valve 27mm,14,43.49
OSL-00106,insert 7mm,10,423.18
OSL-00107,bearing 53mm,10,318.40
OSL-00108,insert 40mm,11,611.57
OSL-00109,flange 43mm,24,654.43
OSL-00110,valve 26mm,13,812.16
OSL-00111,housing 16mm,14,372.32
OSL-00112,bearing 23mm,16,271.03
OSL-00113,insert 10mm,2,551.59
OSL-00114,bolt 42mm,26,875.53
OSL-00115,bolt 9mm,3,165.26
OSL-00116,valve 46mm,36,471.20
OSL-00117,sleeve 38mm,26,738.20
OSL-00118,bolt 55mm,20,240.72
OSL-00119,gasket 43mm,12,815.45
OSL-00120,bolt 10mm,30,256.45
OSL-00121,gasket 37mm,1,395.11
OSL-00122,bolt 33mm,25,611.92
OSL-00123,insert 36mm,30,599.96
OSL-00124,valve 28mm,9,741.91
OSL-00125,valve 57mm,35,408.75
OSL-00126,flange 25mm,14,369.77
OSL-00127,valve 30mm,39,663.07
OSL-00128,gasket 2mm,1,375.58
OSL-00129,gasket 2mm,11,205.68
OSL-00130,housing 55mm,30,102.60
OSL-00131,bracket 11mm,37,36.92
OSL-00132,bolt 5mm,39,790.06
OSL-00133,gasket 27mm,28,946.00
OSL-00134,bolt 38mm,21,990.19
OSL-00135,valve 28mm,11,725.31
OSL-00136,sleeve 43mm,26,537.37
OSL-00137,gasket 15mm,15,735.13
OSL-00138,washer 20mm,9,981.91
OSL-00139,bracket 32mm,28,517.42
OSL-00140,housing 10mm,24,394.75
OSL-00141,sleeve 12mm,10,354.55
OSL-00142,gasket 2mm,8,39.57
OSL-00143,bearing 6mm,35,262.78
OSL-00144,spindle 11mm,22,356.95
OSL-00145,sleeve 36mm,26,69.37
OSL-00146,bearing 24mm,19,772.06
OSL-00147,insert 9mm,18,900.77
OSL-00148,coupler 25mm,37,350.24
OSL-00149,washer 10mm,31,449.22
OSL-00150,coupler 38mm,18,798.08
OSL-00151,housing 44mm,21,994.21
OSL-00152,flange 28mm,37,534.49
OSL-00153,housing 47mm,20,93.31
OSL-00154,spindle 29mm,38,466.84
OSL-00155,flange 36mm,32,139.44
OSL-00156,bracket 52mm,28,211.76
OSL-00157,insert 34mm,23,719.61
OSL-00158,valve 35mm,35,285.12
OSL-00159,gasket 54mm,30,598.01
OSL-00160,insert 46mm,18,495.21
OSL-00161,gasket 26mm,14,899.98
OSL-00162,sleeve 45mm,10,967.60
OSL-00163,sleeve 30mm,17,637.34
OSL-00164,flange 6mm,23,965.09
OSL-00165,bracket 18mm,9,672.95
OSL-00166,bracket 28mm,28,922.30
OSL-00167,housing 23mm,34,267.81
OSL-00168,gasket 21mm,3,242.69
OSL-00169,washer 42mm,35,354.77
OSL-00170,bolt 46mm,23,294.45
OSL-00171,gasket 46mm,30,453.94
OSL-00172,gasket 46mm,1,149.78
OSL-00173,flange 33mm,31,172.41
OSL-00174,washer 20mm,22,604.09
OSL-00175,bracket 58mm,13,555.32
OSL-00176,bracket 17mm,12,304.76
OSL-00177,spindle 46mm,8,625.74
OSL-00178,washer 53mm,25,301.57
OSL-00179,bearing 8mm,3,249.25
OSL-00180,coupler 54mm,10,202.51
OSL-00181,spindle 14mm,27,558.89
OSL-00182,washer 16mm,21,460.11
OSL-00183,coupler 57mm,30,636.46
OSL-00184,flange 8mm,37,516.99
OSL-00185,spindle 57mm,14,293.78
OSL-00186,gasket 38mm,11,938.60
OSL-00187,bolt 21mm,4,759.89
OSL-00188,gasket 11mm,15,47.30
OSL-00189,flange 58mm,8,314.09
OSL-00190,valve 25mm,14,780.01
OSL-00191,bearing 4mm,19,398.87
OSL-00192,bearing 4mm,22,991.40
OSL-00193,bolt 21mm,3,979.21
OSL-00194,gasket 46mm,37,486.66
OSL-00195,coupler 12mm,28,704.69
OSL-00196,bolt 55mm,22,390.75
OSL-00197,flange 38mm,24,155.82
OSL-00198,bracket 38mm,35,9.31
OSL-00199,housing 2mm,4,37.12
OSL-00200,housing 20mm,22,112.87
OSL-00201,washer 7mm,23,688.74
OSL-00202,washer 14mm,6,448.84
OSL-00203,washer 20mm,37,902.03
OSL-00204,bracket 23mm,35,754.53
OSL-00205,coupler 18mm,4,606.27
OSL-00206,valve 26mm,6,118.87
OSL-00207,washer 31mm,38,316.36
OSL-00208,insert 22mm,29,815.92
OSL-00209,bolt 22mm,14,874.03
OSL-00210,valve 3mm,17,513.25
OSL-00211,insert 9mm,9,664.27
OSL-00212,spindle 58mm,19,714.00
OSL-00213,insert 44mm,10,302.40
OSL-00214,bracket 39mm,23,457.22
OSL-00215,coupler 19mm,32,396.45
OSL-00216,bracket 51mm,30,418.82
OSL-00217,bracket 15mm,5,308.10
OSL-00218,bearing 55mm,16,675.24
OSL-00219,housing 33mm,12,73.33
OSL-00220,valve 30mm,5,702.19
OSL-00221,coupler 17mm,29,145.02
OSL-00222,gasket 48mm,1,444.02
OSL-00223,bearing 17mm,26,913.37
OSL-00224,coupler 2mm,19,20.48
OSL-00225,bolt 16mm,32,405.71
OSL-00226,gasket 33mm,13,103.89
OSL-00227,housing 52mm,18,55.55
OSL-00228,coupler 28mm,14,554.66
OSL-00229,sleeve 54mm,25,576.92
OSL-00230,flange 12mm,39,313.38
OSL-00231,spindle 45mm,12,21.08
OSL-00232,insert 43mm,28,613.71
OSL-00233,spindle 13mm,1,842.56
OSL-00234,bracket 7mm,21,306.59
OSL-00235,bolt 58mm,11,279.23
OSL-00236,bolt 5mm,30,701.66
OSL-00237,bearing 48mm,26,379.97
OSL-00238,housing 33mm,30,693.64
OSL-00239,bearing 40mm,19,690.36
OSL-00240,bearing 54mm,9,590.36
OSL-00241,valve 34mm,26,463.93
OSL-00242,sleeve 50mm,3,195.42
OSL-00243,washer 12mm,19,894.48
OSL-00244,insert 32mm,3,410.35
OSL-00245,sleeve 6mm,9,248.33
OSL-00246,bolt 42mm,7,391.08
OSL-00247,coupler 48mm,13,299.38
OSL-00248,sleeve 13mm,8,72.73
OSL-00249,flange 44mm,11,668.21
OSL-00250,gasket 34mm,28,754.52
OSL-00251,bearing 21mm,7,687.70
OSL-00252,flange 54mm,21,546.05
OSL-00253,washer 56mm,7,387.75
OSL-00254,spindle 48mm,9,578.45
OSL-00255,flange 55mm,27,253.25
OSL-00256,sleeve 35mm,27,528.97
OSL-00257,housing 16mm,6,27.35
OSL-00258,bolt 40mm,33,426.84
OSL-00259,spindle 35mm,31,555.36
OSL-00260,bolt 47mm,26,614.77
OSL-00261,bearing 44mm,13,430.61
OSL-00262,flange 7mm,13,438.86
OSL-00263,housing 5mm,10,563.31
OSL-00264,washer 58mm,5,167.44
OSL-00265,sleeve 4mm,31,798.40
OSL-00266,sleeve 5mm,36,852.84
OSL-00267,flange 43mm,5,711.68
OSL-00268,coupler 34mm,1,203.65
OSL-00269,valve 18mm,34,562.23
OSL-00270,housing 46mm,38,516.05
OSL-00271,bracket 32mm,36,993.12
OSL-00272,bracket 38mm,18,736.81
OSL-00273,flange 47mm,28,925.93
OSL-00274,insert 27mm,2,803.79
OSL-00275,sleeve 48mm,2,376.37
OSL-00276,bolt 9mm,9,747.00
OSL-00277,gasket 4mm,36,173.00
OSL-00278,valve 32mm,11,616.00
OSL-00279,coupler 33mm,12,20.44
OSL-00280,insert 12mm,33,228.86
OSL-00281,bolt 52mm,17,3.45
OSL-00282,bearing 11mm,32,877.97
OSL-00283,bracket 45mm,29,508.55
OSL-00284,coupler 39mm,24,512.49
OSL-00285,bolt 45mm,17,776.50
OSL-00286,spindle 9mm,30,344.29
OSL-00287,bolt 15mm,21,488.01
OSL-00288,bolt 13mm,13,325.75
OSL-00289,gasket 36mm,32,504.05
OSL-00290,washer 36mm,8,283.03
OSL-00291,insert 4mm,39,394.65
OSL-00292,flange 13mm,13,594.69
OSL-00293,valve 54mm,2,987.32
OSL-00294,valve 56mm,3,938.99
OSL-00295,coupler 57mm,38,228.31
OSL-00296,bolt 15mm,24,356.97
OSL-00297,washer 40mm,8,563.45
OSL-00298,bearing 42mm,6,816.48
OSL-00299,valve 8mm,34,721.53
OSL-00300,bearing 47mm,34,856.10
OSL-00301,bracket 39mm,5,396.72
OSL-00302,coupler 53mm,20,467.00
OSL-00303,flange 41mm,10,13.45
OSL-00304,spindle 25mm,25,812.30
OSL-00305,bearing 43mm,38,741.14
OSL-00306,washer 3mm,10,879.51
OSL-00307,housing 15mm,25,368.55
OSL-00308,spindle 33mm,32,71.34
OSL-00309,bracket 2mm,39,842.06
OSL-00310,flange 13mm,24,293.12
OSL-00311,insert 33mm,29,12.23
OSL-00312,bolt 15mm,30,388.54
OSL-00313,bracket 52mm,7,392.82
OSL-00314,sleeve 30mm,14,675.71
OSL-00315,bearing 33mm,8,217.94
OSL-00316,sleeve 40mm,1,869.73
OSL-00317,valve 24mm,5,982.70
OSL-00318,sleeve 6mm,35,595.08
OSL-00319,bearing 23mm,30,416.24
OSL-00320,housing 54mm,22,939.09
OSL-00321,housing 20mm,5,605.17
OSL-00322,gasket 26mm,28,801.36
OSL-00323,bearing 34mm,1,36.38
OSL-00324,bearing 16mm,14,890.57
OSL-00325,spindle 48mm,8,239.83
OSL-00326,housing 20mm,14,538.93
OSL-00327,housing 36mm,5,971.72
OSL-00328,bearing 41mm,17,835.11
OSL-00329,sleeve 11mm,34,862.71
OSL-00330,sleeve 3mm,25,472.48
OSL-00331,spindle 13mm,5,122.19
OSL-00332,housing 24mm,30,653.73
OSL-00333,bearing 50mm,27,543.52
OSL-00334,insert 26mm,34,229.85
OSL-00335,bearing 31mm,7,850.21
OSL-00336,bolt 59mm,16,881.67
OSL-00337,insert 27mm,23,216.87
OSL-00338,sleeve 58mm,8,392.78
OSL-00339,bearing 33mm,18,886.62
OSL-00340,flange 58mm,7,974.37
OSL-00341,bolt 21mm,17,650.86
OSL-00342,valve 10mm,5,504.85
OSL-00343,bearing 55mm,31,372.89
OSL-00344,bracket 24mm,31,633.88
OSL-00345,bolt 6mm,37,921.83
OSL-00346,gasket 28mm,30,923.30
OSL-00347,valve 56mm,3,106.12
OSL-00348,washer 14mm,22,168.10
OSL-00349,bracket 40mm,14,544.78
OSL-00350,housing 4mm,22,514.81
OSL-00351,bolt 38mm,3,411.78
OSL-00352,flange 18mm,20,670.49
OSL-00353,washer 20mm,32,365.89
OSL-00354,insert 54mm,27,135.56
OSL-00355,bearing 41mm,14,529.95
OSL-00356,bearing 6mm,9,922.57
OSL-00357,spindle 30mm,25,956.83
OSL-00358,coupler 9mm,18,333.82
OSL-00359,bracket 56mm,7,842.14
OSL-00360,insert 10mm,38,702.76
OSL-00361,gasket 46mm,20,195.35
OSL-00362,coupler 47mm,28,167.34
OSL-00363,spindle 11mm,28,255.75
OSL-00364,spindle 25mm,1,488.61
OSL-00365,insert 55mm,17,998.96
OSL-00366,bolt 35mm,2,339.13
OSL-00367,washer 34mm,27,61.17
OSL-00368,coupler 4mm,8,380.11
OSL-00369,gasket 20mm,22,1.41
OSL-00370,spindle 4mm,14,808.38
OSL-00371,housing 35mm,12,568.48
OSL-00372,insert 42mm,5,838.41
OSL-00373,spindle 10mm,26,111.78
OSL-00374,insert 38mm,24,96.77
OSL-00375,housing 16mm,7,261.05
OSL-00376,bolt 56mm,2,606.55
OSL-00377,insert 17mm,8,816.69
OSL-00378,flange 41mm,38,965.69
OSL-00379,flange 34mm,39,965.62
OSL-00380,gasket 47mm,28,448.04
OSL-00381,coupler 47mm,26,856.88
OSL-00382,flange 48mm,9,216.71
OSL-00383,insert 49mm,21,105.21
OSL-00384,valve 45mm,14,78.95
OSL-00385,coupler 5mm,32,279.22
OSL-00386,flange 24mm,18,46.60
OSL-00387,gasket 5mm,13,209.57
OSL-00388,bracket 58mm,31,426.33
OSL-00389,coupler 21mm,10,789.45
OSL-00390,spindle 18mm,8,682.38
OSL-00391,washer 30mm,38,153.52
OSL-00392,spindle 46mm,19,456.32
OSL-00393,insert 25mm,38,128.53
OSL-00394,gasket 39mm,37,561.79
OSL-00395,housing 50mm,4,100.94
OSL-00396,insert 55mm,28,134.61
OSL-00397,coupler 41mm,29,962.70
OSL-00398,flange 29mm,25,395.15
OSL-00399,housing 19mm,36,415.90
OSL-00400,washer 42mm,23,410.83
OSL-00401,washer 51mm,5,167.60
OSL-00402,sleeve 17mm,27,96.14
