sku,description,qty,unit_price
BRI-00075,flange 6mm,20,901.66
BRI-00076,sleeve 59mm,32,464.33
BRI-00077,housing 4mm,13,417.81
BRI-00078,valve 38mm,13,143.01
BRI-00079,gasket 41mm,6,454.21
BRI-00080,bearing 31mm,4,210.98
BRI-00081,sleeve 4mm,22,33.40
BRI-00082,flange 34mm,31,835.62
BRI-00083,bearing 32mm,22,711.38
BRI-00084,valve 57mm,38,90.03
BRI-00085,gasket 41mm,25,597.73
BRI-00086,sleeve 14mm,14,758.94
BRI-00087,flange 57mm,9,457.11
BRI-00088,valve 48mm,18,322.98
BRI-00089,valve 9mm,18,217.40
BRI-00090,flange 42mm,21,589.26
BRI-00091,coupler 27mm,33,464.24
BRI-00092,housing 32mm,31,791.89
BRI-00093,spindle 10mm,5,315.59
BRI-00094,housing 25mm,15,94.21
BRI-00095,sleeve 58mm,9,965.98
BRI-00096,spindle 13mm,32,491.14
BRI-00097,bracket 20mm,29,278.32
BRI-00098,washer 51mm,15,844.05
BRI-00099,sleeve 12mm,27,286.22
BRI-00100,valve 21mm,20,991.26
BRI-00101,washer 7mm,14,202.43
BRI-00102,spindle 34mm,33,923.97
BRI-00103,insert 41mm,7,653.37
BRI-00104,housing 57mm,22,817.60
BRI-00105,sleeve 26mm,19,76.41
BRI-00106,flange 6mm,26,174.83
BRI-00107,gasket 3mm,9,373.88
BRI-00108,coupler 25mm,20,651.18
BRI-00109,bolt 52mm,5,81.86
BRI-00110,washer 23mm,25,185.50
BRI-00111,insert 41mm,35,241.45
BRI-00112,valve 5mm,4,182.60
BRI-00113,coupler 24mm,24,150.69
BRI-00114,bracket 22mm,38,313.54
BRI-00115,sleeve 16mm,23,96.80
BRI-00116,bracket 30mm,4,19.80
BRI-00117,bearing 57mm,5,320.49
BRI-00118,flange 51mm,24,987.42
BRI-00119,spindle 56mm,12,719.21
BRI-00120,sleeve 16mm,18,535.68
BRI-00121,gasket 11mm,4,958.96
BRI-00122,housing 41mm,26,735.43
BRI-00123,sleeve 12mm,3,532.75
BRI-00124,housing 15mm,15,242.64
BRI-00125,washer 47mm,1,812.43
BRI-00126,valve 41mm,1,711.54
BRI-00127,bearing 22mm,9,147.56
BRI-00128,housing 37mm,15,895.42
BRI-00129,housing 33mm,16,814.33
BRI-00130,bearing 7mm,18,316.84
BRI-00131,bearing 59mm,39,983.72
BRI-00132,spindle 49mm,24,636.81
BRI-00133,washer 59mm,39,875.21
BRI-00134,bracket 50mm,35,89.59
BRI-00135,valve 42mm,13,729.52
BRI-00136,flange 15mm,13,708.71
BRI-00137,flange 25mm,1,671.31
BRI-00138,sleeve 2mm,10,882.52
BRI-00139,coupler 5mm,21,506.66
BRI-00140,valve 45mm,21,752.96
BRI-00141,insert 57mm,36,223.99
BRI-00142,gasket 23mm,31,416.14
BRI-00143,insert 13mm,16,596.71
BRI-00144,insert 17mm,22,485.41
BRI-00145,insert 32mm,30,37.93
BRI-00146,bracket 38mm,13,28.64
BRI-00147,gasket 30mm,4,551.49
BRI-00148,coupler 19mm,30,232.16
BRI-00149,flange 20mm,18,336.20
BRI-00150,sleeve 51mm,15,432.81
BRI-00151,valve 4mm,1,274.26
BRI-00152,valve 33mm,19,711.88
BRI-00153,housing 45mm,11,416.11
BRI-00154,valve 22mm,9,173.42
BRI-00155,coupler 43mm,10,917.09
BRI-00156,flange 49mm,22,496.51
BRI-00157,coupler 3mm,23,677.19
BRI-00158,insert 7mm,24,576.86
BRI-00159,insert 24mm,34,958.65
BRI-00160,spindle 35mm,35,799.73
BRI-00161,washer 40mm,15,839.20
BRI-00162,flange 4mm,2,995.57
BRI-00163,valve 30mm,39,98.28
BRI-00164,coupler 5mm,22,511.03
BRI-00165,coupler 58mm,8,405.76
BRI-00166,housing 59mm,31,995.49
BRI-00167,washer 30mm,18,950.57
BRI-00168,coupler 34mm,33,247.63
BRI-00169,valve 31mm,38,682.98
BRI-00170,insert 5mm,30,725.55
BRI-00171,gasket 14mm,13,930.37
BRI-00172,washer 28mm,25,322.90
BRI-00173,coupler 45mm,25,45.23
BRI-00174,bearing 19mm,36,254.56
BRI-00175,bearing 20mm,30,285.12
BRI-00176,spindle 15mm,32,488.85
BRI-00177,bolt 50mm,13,470.36
BRI-00178,coupler 45mm,15,433.85
BRI-00179,housing 27mm,13,15.39
BRI-00180,valve 55mm,7,573.11
BRI-00181,spindle 8mm,33,839.30
BRI-00182,bracket 22mm,31,549.23
BRI-00183,insert 59mm,20,8.85
BRI-00184,bearing 15mm,20,590.14
BRI-00185,bolt 34mm,12,106.53
BRI-00186,sleeve 47mm,31,22.59
BRI-00187,bolt 14mm,19,269.88
BRI-00188,coupler 50mm,6,466.29
BRI-00189,gasket 58mm,31,360.11
BRI-00190,bearing 24mm,32,702.20
BRI-00191,coupler 22mm,21,744.86
BRI-00192,flange 10mm,8,451.39
BRI-00193,bracket 7mm,27,857.05
BRI-00194,gasket 26mm,9,61.84
BRI-00195,flange 40mm,25,971.23
BRI-00196,flange 44mm,30,214.53
BRI-00197,washer 32mm,28,402.54
BRI-00198,washer 44mm,5,971.48
BRI-00199,valve 29mm,31,783.25
BRI-00200,valve 38mm,18,560.72
BRI-00201,bracket 41mm,33,690.35
BRI-00202,flange 38mm,39,216.95
BRI-00203,coupler 58mm,30,297.78
BRI-00204,bearing 49mm,11,140.38
BRI-00205,flange 9mm,1,47.32
BRI-00206,insert 37mm,36,319.82
BRI-00207,gasket 28mm,2,509.70
BRI-00208,bracket 21mm,39,354.45
BRI-00209,flange 58mm,14,612.99
BRI-00210,gasket 24mm,17,305.01
BRI-00211,coupler 4mm,11,103.72
BRI-00212,sleeve 29mm,31,447.31
BRI-00213,valve 46mm,21,221.44
BRI-00214,housing 32mm,39,898.05
BRI-00215,coupler 54mm,4,541.57
BRI-00216,flange 23mm,6,743.30
BRI-00217,washer 44mm,3,259.97
BRI-00218,washer 8mm,37,500.88
BRI-00219,gasket 26mm,26,173.84
BRI-00220,gasket 9mm,12,295.72
BRI-00221,bracket 30mm,29,802.82
BRI-00222,insert 33mm,36,912.64
BRI-00223,housing 38mm,20,347.94
BRI-00224,insert 42mm,9,561.84
BRI-00225,gasket 10mm,17,712.41
BRI-00226,bracket 42mm,11,662.43
BRI-00227,bearing 7mm,17,998.29
BRI-00228,bracket 19mm,37,449.54
BRI-00229,sleeve 7mm,13,294.26
BRI-00230,coupler 59mm,29,160.10
BRI-00231,washer 52mm,35,198.76
BRI-00232,valve 50mm,22,395.65
BRI-00233,valve 3mm,28,996.22
BRI-00234,bracket 17mm,17,519.14
BRI-00235,housing 32mm,21,835.23
BRI-00236,spindle 4mm,33,462.46
BRI-00237,gasket 57mm,3,361.05
BRI-00238,insert 31mm,32,845.80
BRI-00239,sleeve 36mm,24,463.39
BRI-00240,bracket 46mm,31,556.10
BRI-00241,valve 4mm,5,14.64
BRI-00242,gasket 4mm,9,998.25
BRI-00243,bearing 52mm,14,62.55
BRI-00244,flange 7mm,18,951.63
BRI-00245,flange 51mm,9,913.30
BRI-00246,insert 33mm,28,164.68
BRI-00247,housing 24mm,12,38.88
BRI-00248,coupler 9mm,16,207.08
BRI-00249,housing 51mm,34,567.12
BRI-00250,spindle 30mm,20,893.25
BRI-00251,bracket 7mm,26,828.02
BRI-00252,bolt 5mm,11,85.23
BRI-00253,valve 11mm,25,393.54
BRI-00254,bearing 38mm,1,664.41
BRI-00255,sleeve 10mm,15,723.19
BRI-00256,flange 45mm,22,847.02
BRI-00257,coupler 25mm,4,92.32
BRI-00258,gasket 59mm,29,428.08
BRI-00259,gasket 18mm,28,364.89
BRI-00260,bolt 43mm,37,92.25
BRI-00261,housing 47mm,36,103.15
BRI-00262,gasket 4mm,25,675.97
BRI-00263,bolt 34mm,14,173.43
BRI-00264,gasket 32mm,35,251.82
BRI-00265,spindle 15mm,7,385.95
BRI-00266,bearing 8mm,38,143.68
BRI-00267,gasket 38mm,3,989.06
BRI-00268,gasket 20mm,19,765.78
BRI-00269,housing 17mm,20,164.15
BRI-00270,bearing 32mm,8,811.29
BRI-00271,bracket 52mm,31,157.13
BRI-00272,insert 52mm,36,974.31
BRI-00273,washer 50mm,22,462.94
BRI-00274,valve 41mm,37,606.50
BRI-00275,washer 56mm,21,199.06
BRI-00276,valve 58mm,22,371.18
BRI-00277,valve 28mm,7,790.10
BRI-00278,gasket 37mm,33,499.88
BRI-00279,valve 47mm,21,270.04
BRI-00280,flange 13mm,21,916.52
BRI-00281,valve 6mm,7,895.54
BRI-00282,insert 9mm,12,695.12
BRI-00283,housing 24mm,26,564.33
BRI-00284,insert 58mm,23,566.80
BRI-00285,washer 23mm,17,649.08
BRI-00286,spindle 19mm,32,56.66
BRI-00287,spindle 49mm,2,634.68
BRI-00288,spindle 42mm,38,892.38
BRI-00289,valve 56mm,38,316.79
BRI-00290,flange 3mm,7,606.00
BRI-00291,flange 36mm,5,841.33
BRI-00292,bolt 10mm,17,603.74
BRI-00293,bracket 51mm,3,968.37
BRI-00294,washer 6mm,19,739.91
BRI-00295,bolt 58mm,34,24.44
BRI-00296,bracket 6mm,15,347.95
BRI-00297,coupler 22mm,37,107.74
BRI-00298,spindle 43mm,10,61.05
BRI-00299,housing 11mm,19,410.67
BRI-00300,housing 4mm,1,937.25
BRI-00301,valve 25mm,30,392.36
BRI-00302,flange 55mm,9,307.74
BRI-00303,spindle 16mm,30,24.42
BRI-00304,gasket 45mm,25,338.48
BRI-00305,valve 3mm,4,62.14
BRI-00306,bearing 16mm,36,877.56
BRI-00307,insert 52mm,3,511.01
BRI-00308,valve 24mm,1,735.82
BRI-00309,valve 2mm,14,510.77
BRI-00310,flange 9mm,7,464.17
BRI-00311,housing 49mm,30,173.16
BRI-00312,washer 20mm,21,849.74
BRI-00313,bracket 19mm,37,895.97
BRI-00314,insert 17mm,24,145.72
BRI-00315,valve 14mm,6,805.24
BRI-00316,bracket 46mm,37,993.03
BRI-00317,insert 19mm,10,438.34
BRI-00318,valve 35mm,3,647.71
BRI-00319,bolt 15mm,28,617.42
BRI-00320,coupler 51mm,26,38.48
BRI-00321,housing 40mm,8,219.22
BRI-00322,insert 54mm,25,646.45
BRI-00323,insert 33mm,27,682.86
BRI-00324,bolt 8mm,37,597.46
BRI-00325,coupler 20mm,30,580.35
BRI-00326,valve 48mm,16,945.16
BRI-00327,gasket 46mm,3,511.59
BRI-00328,bearing 52mm,21,840.62
BRI-00329,washer 5mm,24,699.05
BRI-00330,sleeve 17mm,3,844.96
BRI-00331,housing 25mm,3,955.27
BRI-00332,bearing 11mm,18,589.28
BRI-00333,flange 31mm,29,352.05
BRI-00334,housing 19mm,29,201.75
BRI-00335,housing 49mm,2,369.15
BRI-00336,bearing 38mm,14,526.13
BRI-00337,insert 6mm,26,279.89
BRI-00338,housing 48mm,3,193.93
BRI-00339,valve 12mm,3,483.42
BRI-00340,bolt 3mm,10,901.70
BRI-00341,coupler 42mm,34,738.43
BRI-00342,spindle 20mm,4,243.48
BRI-00343,gasket 44mm,24,298.55
BRI-00344,insert 44mm,27,514.43
BRI-00345,spindle 5mm,30,131.14
BRI-00346,bolt 50mm,24,109.54
BRI-00347,coupler 54mm,8,417.58
BRI-00348,insert 11mm,22,7.43
BRI-00349,insert 30mm,27,338.11
BRI-00350,bolt 42mm,4,229.30
BRI-00351,washer 43mm,28,589.84
BRI-00352,sleeve 27mm,26,366.24
BRI-00353,spindle 32mm,20,565.17
BRI-00354,sleeve 49mm,28,533.42
BRI-00355,flange 23mm,14,293.17
BRI-00356,bolt 15mm,24,401.05
BRI-00357,insert 4mm,17,602.53
BRI-00358,gasket 48mm,11,217.62
BRI-00359,valve 17mm,39,394.86
BRI-00360,bearing 42mm,7,495.68
BRI-00361,housing 12mm,32,79.05
BRI-00362,sleeve 34mm,17,638.15
BRI-00363,bearing 23mm,18,501.67
BRI-00364,insert 45mm,11,824.98
BRI-00365,bearing 14mm,9,791.67
BRI-00366,sleeve 41mm,39,341.74
BRI-00367,gasket 10mm,13,946.91
BRI-00368,spindle 8mm,25,639.96
BRI-00369,valve 44mm,4,630.43
BRI-00370,bracket 47mm,5,455.74
BRI-00371,bearing 57mm,9,466.62
BRI-00372,gasket 7mm,10,86.52
BRI-00373,insert 28mm,18,907.33
BRI-00374,spindle 46mm,7,240.35
BRI-00375,washer 22mm,38,589.86
BRI-00376,housing 51mm,37,392.43
BRI-00377,bearing 22mm,27,156.04
BRI-00378,bearing 56mm,18,564.75
BRI-00379,bolt 11mm,33,428.34
BRI-00380,insert 37mm,9,225.81
BRI-00381,bolt 53mm,25,103.52
BRI-00382,washer 26mm,12,340.67
BRI-00383,insert 39mm,25,939.38
BRI-00384,flange 51mm,21,787.01
BRI-00385,spindle 48mm,5,210.46
BRI-00386,coupler 53mm,20,577.31
BRI-00387,coupler 49mm,35,415.29
BRI-00388,bracket 5mm,30,725.69
