id,date,debit,credit,amount_cents,currency
t000058,2026-01-02,6000,1000,248832,USD
t000059,2026-01-02,1000,3000,45820,USD
t000060,2026-01-02,4000,1000,45320,USD
t000061,2026-01-02,1000,4471,148492,USD
t000062,2026-01-02,4471,3000,5186,USD
t000063,2026-01-02,1200,3000,164455,USD
t000064,2026-01-02,4000,1000,9823,USD
t000065,2026-01-02,6000,1000,1283,USD
t000066,2026-01-02,1200,3000,210622,USD
t000067,2026-01-02,1200,3000,94554,USD
t000068,2026-01-02,4000,1000,210183,USD
t000069,2026-01-02,4471,3000,40467,USD
t000070,2026-01-02,4000,2000,58745,USD
t000071,2026-01-02,2000,1000,20606,USD
t000072,2026-01-02,2000,1000,5263,USD
t000073,2026-01-02,6000,1000,2912,USD
t000074,2026-01-02,1000,3000,163755,USD
t000075,2026-01-02,6000,1000,8968,USD
t000076,2026-01-02,1000,3000,49384,USD
t000077,2026-01-02,4471,3000,217146,USD
t000078,2026-01-02,6000,1000,101977,USD
t000079,2026-01-02,4000,1000,203845,USD
t000080,2026-01-03,4000,1000,226884,USD
t000081,2026-01-03,1000,3000,700,USD
t000082,2026-01-03,1000,3000,55783,USD
t000083,2026-01-03,1000,1200,111575,USD
t000084,2026-01-03,1200,3000,5992,USD
t000085,2026-01-03,1000,3000,168897,USD
t000086,2026-01-03,1000,3000,239667,USD
t000087,2026-01-03,1000,3000,2591,USD
t000088,2026-01-03,4000,1000,126563,USD
t000089,2026-01-03,1000,3000,145682,USD
t000090,2026-01-03,1200,3000,183635,USD
t000091,2026-01-03,1000,1200,246735,USD
t000092,2026-01-03,1000,3000,1880,USD
t000093,2026-01-03,6000,1000,1305,USD
t000094,2026-01-03,4000,1000,171700,USD
t000095,2026-01-03,1000,3000,142933,USD
t000096,2026-01-03,4000,1000,6435,USD
t000097,2026-01-03,6000,1000,151719,USD
t000098,2026-01-03,1000,1200,96960,USD
t000099,2026-01-03,1000,1200,6412,USD
t000100,2026-01-03,4000,2000,199424,USD
t000101,2026-01-03,1200,3000,4387,USD
t000102,2026-01-03,1000,1200,30682,USD
t000103,2026-01-03,1000,1200,158199,USD
t000104,2026-01-03,6000,1000,152513,USD
t000105,2026-01-03,1000,3000,99646,USD
t000106,2026-01-03,1000,4471,88081,USD
t000107,2026-01-03,4000,2000,47281,USD
t000108,2026-01-03,1000,4471,906,USD
t000109,2026-01-03,1000,3000,126809,USD
t000110,2026-01-03,1200,3000,97755,USD
t000111,2026-01-03,1000,1200,232595,USD
t000112,2026-01-03,1000,1200,3103,USD
t000113,2026-01-03,1200,3000,6597,USD
t000114,2026-01-03,1000,3000,1970,USD
t000115,2026-01-03,4471,3000,248360,USD
t000116,2026-01-03,2000,1000,104515,USD
t000117,2026-01-03,2000,1000,154721,USD
t000118,2026-01-03,1200,3000,215549,USD
t000119,2026-01-03,6000,1000,185323,USD
t000120,2026-01-04,4471,3000,21752,USD
t000121,2026-01-04,4000,2000,53879,USD
t000122,2026-01-04,1200,3000,115099,USD
t000123,2026-01-04,4000,1000,20908,USD
t000124,2026-01-04,6000,1000,106112,USD
t000125,2026-01-04,4471,3000,39968,USD
t000126,2026-01-04,6000,1000,213485,USD
t000127,2026-01-04,1000,4471,144174,USD
t000128,2026-01-04,6000,1000,141914,USD
t000129,2026-01-04,1000,1200,4298,USD
t000130,2026-01-04,1000,3000,88697,USD
t000131,2026-01-04,4000,1000,110819,USD
t000132,2026-01-04,4000,1000,38247,USD
t000133,2026-01-04,6000,1000,217387,USD
t000134,2026-01-04,1000,4471,27433,USD
t000135,2026-01-04,1200,3000,170414,USD
t000136,2026-01-04,1200,3000,156063,USD
t000137,2026-01-04,1000,1200,7694,USD
t000138,2026-01-04,6000,1000,4363,USD
t000139,2026-01-04,1000,4471,1270,USD
t000140,2026-01-04,1000,3000,14407,USD
t000141,2026-01-04,1000,1200,45961,USD
t000142,2026-01-04,4000,1000,195249,USD
t000143,2026-01-04,2000,1000,64574,USD
t000144,2026-01-04,2000,1000,146410,USD
t000145,2026-01-04,1200,3000,213221,USD
t000146,2026-01-04,1000,3000,163096,USD
t000147,2026-01-04,1000,3000,198298,USD
t000148,2026-01-04,2000,1000,33207,USD
t000149,2026-01-04,4471,3000,80922,USD
t000150,2026-01-04,4000,1000,3148,USD
t000151,2026-01-04,4000,2000,56827,USD
t000152,2026-01-04,4471,3000,183829,USD
t000153,2026-01-04,6000,1000,188010,USD
t000154,2026-01-04,1000,3000,219918,USD
t000155,2026-01-04,1000,1200,6356,USD
t000156,2026-01-04,1000,1200,8358,USD
t000157,2026-01-04,1000,3000,157787,USD
t000158,2026-01-04,2000,1000,7710,USD
t000159,2026-01-04,2000,1000,834,USD
t000160,2026-01-05,4000,1000,4358,USD
t000161,2026-01-05,1200,3000,225002,USD
t000162,2026-01-05,4000,2000,194776,USD
t000163,2026-01-05,4471,3000,224412,USD
t000164,2026-01-05,4000,1000,4841,USD
t000165,2026-01-05,1200,3000,81084,USD
t000166,2026-01-05,4471,3000,8233,USD
t000167,2026-01-05,1000,3000,3064,USD
t000168,2026-01-05,4000,1000,47675,USD
t000169,2026-01-05,6000,1000,200453,USD
t000170,2026-01-05,4000,2000,214423,USD
t000171,2026-01-05,1200,3000,5683,USD
t000172,2026-01-05,4000,2000,12477,USD
t000173,2026-01-05,4000,1000,193594,USD
t000174,2026-01-05,4000,2000,9267,USD
t000175,2026-01-05,1200,3000,6809,USD
t000176,2026-01-05,4000,1000,1425,USD
t000177,2026-01-05,4000,2000,115832,USD
t000178,2026-01-05,1000,3000,1059,USD
t000179,2026-01-05,1000,1200,79995,USD
t000180,2026-01-05,2000,1000,50815,USD
t000181,2026-01-05,1000,1200,206942,USD
t000182,2026-01-05,1000,4471,7666,USD
t000183,2026-01-05,1000,3000,557,USD
t000184,2026-01-05,4000,2000,105893,USD
t000185,2026-01-05,6000,1000,89212,USD
t000186,2026-01-05,1000,4471,86013,USD
t000187,2026-01-05,1000,1200,173072,USD
t000188,2026-01-05,4000,1000,128110,USD
t000189,2026-01-05,1000,3000,2585,USD
t000190,2026-01-05,6000,1000,137797,USD
t000191,2026-01-05,4000,1000,8284,USD
t000192,2026-01-05,1000,4471,245708,USD
t000193,2026-01-05,4000,2000,213047,USD
t000194,2026-01-05,4000,1000,223465,USD
t000195,2026-01-05,1000,1200,165962,USD
t000196,2026-01-05,4471,3000,2392,USD
t000197,2026-01-05,1000,4471,237466,USD
t000198,2026-01-05,1000,1200,9302,USD
t000199,2026-01-05,4000,2000,6456,USD
t000200,2026-01-06,6000,1000,59474,USD
t000201,2026-01-06,1000,4471,51815,USD
t000202,2026-01-06,4000,1000,97918,USD
t000203,2026-01-06,4000,1000,1369,USD
t000204,2026-01-06,1000,3000,225881,USD
t000205,2026-01-06,1000,3000,170743,USD
t000206,2026-01-06,1000,1200,9701,USD
t000207,2026-01-06,4471,3000,36216,USD
t000208,2026-01-06,1000,4471,160117,USD
t000209,2026-01-06,4000,1000,8415,USD
t000210,2026-01-06,1000,3000,173213,USD
t000211,2026-01-06,1200,3000,166041,USD
t000212,2026-01-06,1000,1200,7699,USD
t000213,2026-01-06,6000,1000,3224,USD
t000214,2026-01-06,1000,4471,1325,USD
t000215,2026-01-06,4000,1000,9823,USD
t000216,2026-01-06,6000,1000,17621,USD
t000217,2026-01-06,1000,3000,213996,USD
t000218,2026-01-06,1000,1200,156953,USD
t000219,2026-01-06,4000,1000,218031,USD
t000220,2026-01-06,1000,1200,150154,USD
t000221,2026-01-06,6000,1000,7558,USD
t000222,2026-01-06,1200,3000,7080,USD
t000223,2026-01-06,1000,3000,18207,USD
t000224,2026-01-06,1200,3000,9548,USD
t000225,2026-01-06,1000,1200,43870,USD
t000226,2026-01-06,1000,3000,5845,USD
t000227,2026-01-06,4000,2000,16901,USD
t000228,2026-01-06,1000,4471,141079,USD
t000229,2026-01-06,4000,2000,1817,USD
t000230,2026-01-06,4000,2000,13385,USD
t000231,2026-01-06,6000,1000,181912,USD
t000232,2026-01-06,1200,3000,115481,USD
t000233,2026-01-06,4000,2000,248103,USD
t000234,2026-01-06,1200,3000,43520,USD
t000235,2026-01-06,2000,1000,93643,USD
t000236,2026-01-06,1000,3000,42372,USD
t000237,2026-01-06,1000,3000,151929,USD
t000238,2026-01-06,1000,4471,5698,USD
t000239,2026-01-06,6000,1000,106704,USD
t000240,2026-01-07,6000,1000,191700,USD
t000241,2026-01-07,2000,1000,173004,USD
t000242,2026-01-07,1000,1200,8577,USD
t000243,2026-01-07,4000,1000,80590,USD
t000244,2026-01-07,1200,3000,2132,USD
t000245,2026-01-07,4000,1000,43221,USD
t000246,2026-01-07,1000,1200,217354,USD
t000247,2026-01-07,1200,3000,82654,USD
t000248,2026-01-07,4000,2000,8977,USD
t000249,2026-01-07,1200,3000,114865,USD
t000250,2026-01-07,1200,3000,75368,USD
t000251,2026-01-07,4000,2000,2018,USD
t000252,2026-01-07,1000,4471,128286,USD
t000253,2026-01-07,4471,3000,3821,USD
t000254,2026-01-07,4000,2000,2933,USD
t000255,2026-01-07,4000,1000,7744,USD
t000256,2026-01-07,4471,3000,201207,USD
t000257,2026-01-07,4000,2000,4463,USD
t000258,2026-01-07,4471,3000,2971,USD
t000259,2026-01-07,6000,1000,9026,USD
t000260,2026-01-07,6000,1000,31632,USD
t000261,2026-01-07,4000,1000,236036,USD
t000262,2026-01-07,6000,1000,23649,USD
t000263,2026-01-07,4471,3000,6038,USD
t000264,2026-01-07,6000,1000,151029,USD
t000265,2026-01-07,4471,3000,3241,USD
t000266,2026-01-07,4000,1000,71591,USD
t000267,2026-01-07,4000,2000,16798,USD
t000268,2026-01-07,1000,1200,3347,USD
t000269,2026-01-07,6000,1000,9899,USD
t000270,2026-01-07,1000,3000,132134,USD
t000271,2026-01-07,2000,1000,120083,USD
t000272,2026-01-07,1000,3000,3979,USD
t000273,2026-01-07,1000,4471,211526,USD
t000274,2026-01-07,1000,1200,105177,USD
t000275,2026-01-07,1200,3000,8332,USD
t000276,2026-01-07,1200,3000,43266,USD
t000277,2026-01-07,2000,1000,113896,USD
t000278,2026-01-07,1000,3000,149415,USD
t000279,2026-01-07,4000,1000,117757,USD
t000280,2026-01-08,4000,1000,42147,USD
t000281,2026-01-08,2000,1000,4738,USD
t000282,2026-01-08,4471,3000,113802,USD
t000283,2026-01-08,4471,3000,70095,USD
t000284,2026-01-08,2000,1000,108863,USD
t000285,2026-01-08,6000,1000,7973,USD
t000286,2026-01-08,4471,3000,3395,USD
t000287,2026-01-08,2000,1000,162153,USD
t000288,2026-01-08,2000,1000,60061,USD
t000289,2026-01-08,1000,3000,89873,USD
t000290,2026-01-08,4000,2000,56499,USD
t000291,2026-01-08,1000,3000,169054,USD
t000292,2026-01-08,1000,3000,137299,USD
t000293,2026-01-08,1200,3000,235167,USD
t000294,2026-01-08,6000,1000,1269,USD
t000295,2026-01-08,6000,1000,108984,USD
t000296,2026-01-08,4471,3000,3126,USD
t000297,2026-01-08,1000,1200,43944,USD
t000298,2026-01-08,2000,1000,7487,USD
t000299,2026-01-08,1200,3000,90365,USD
t000300,2026-01-08,1000,1200,245801,USD
t000301,2026-01-08,1000,4471,129117,USD
t000302,2026-01-08,1000,1200,188755,USD
t000303,2026-01-08,1000,1200,589,USD
t000304,2026-01-08,1200,3000,19965,USD
t000305,2026-01-08,1200,3000,106353,USD
t000306,2026-01-08,1000,3000,194070,USD
t000307,2026-01-08,1000,1200,2836,USD
t000308,2026-01-08,2000,1000,156573,USD
t000309,2026-01-08,4000,2000,155767,USD
t000310,2026-01-08,2000,1000,60716,USD
t000311,2026-01-08,4000,2000,6666,USD
t000312,2026-01-08,1000,4471,204027,USD
t000313,2026-01-08,1000,1200,223035,USD
t000314,2026-01-08,1000,3000,189798,USD
t000315,2026-01-08,4471,3000,8822,USD
t000316,2026-01-08,1200,3000,9768,USD
t000317,2026-01-08,1200,3000,232602,USD
t000318,2026-01-08,1000,1200,140573,USD
t000319,2026-01-08,1000,1200,208012,USD
t000320,2026-01-09,1000,1200,107187,USD
t000321,2026-01-09,6000,1000,7482,USD
t000322,2026-01-09,1000,3000,4348,USD
t000323,2026-01-09,1000,3000,6654,USD
t000324,2026-01-09,4000,1000,6174,USD
t000325,2026-01-09,1200,3000,9019,USD
t000326,2026-01-09,2000,1000,110642,USD
t000327,2026-01-09,1000,3000,6177,USD
t000328,2026-01-09,6000,1000,550,USD
t000329,2026-01-09,1000,1200,6287,USD
t000330,2026-01-09,4000,2000,94452,USD
t000331,2026-01-09,1000,3000,73374,USD
t000332,2026-01-09,1000,1200,21962,USD
t000333,2026-01-09,1200,3000,4164,USD
t000334,2026-01-09,4000,2000,2688,USD
t000335,2026-01-09,4000,2000,119628,USD
t000336,2026-01-09,1000,3000,110970,USD
t000337,2026-01-09,4000,1000,200221,USD
t000338,2026-01-09,4000,2000,8596,USD
t000339,2026-01-09,6000,1000,133161,USD
t000340,2026-01-09,2000,1000,203227,USD
t000341,2026-01-09,6000,1000,2237,USD
t000342,2026-01-09,2000,1000,9081,USD
t000343,2026-01-09,4000,2000,161590,USD
t000344,2026-01-09,1000,1200,35794,USD
t000345,2026-01-09,4000,2000,86563,USD
t000346,2026-01-09,4000,2000,122304,USD
t000347,2026-01-09,4471,3000,31654,USD
t000348,2026-01-09,1200,3000,126972,USD
t000349,2026-01-09,1000,4471,2311,USD
t000350,2026-01-09,1000,3000,94227,USD
t000351,2026-01-09,2000,1000,150430,USD
t000352,2026-01-09,2000,1000,3595,USD
t000353,2026-01-09,1000,4471,4812,USD
t000354,2026-01-09,1000,4471,61652,USD
t000355,2026-01-09,4471,3000,7026,USD
t000356,2026-01-09,4471,3000,663,USD
t000357,2026-01-09,1000,3000,10731,USD
t000358,2026-01-09,1000,3000,157011,USD
t000359,2026-01-09,4000,1000,21361,USD
t000360,2026-01-10,1000,3000,165130,USD
t000361,2026-01-10,4000,2000,8819,USD
t000362,2026-01-10,4000,1000,7307,USD
t000363,2026-01-10,1000,1200,140497,USD
t000364,2026-01-10,6000,1000,86422,USD
t000365,2026-01-10,6000,1000,142579,USD
t000366,2026-01-10,4000,2000,118888,USD
t000367,2026-01-10,4000,1000,233664,USD
t000368,2026-01-10,6000,1000,137213,USD
t000369,2026-01-10,4000,1000,112840,USD
t000370,2026-01-10,6000,1000,220180,USD
t000371,2026-01-10,2000,1000,65543,USD
t000372,2026-01-10,1000,4471,3105,USD
t000373,2026-01-10,1000,3000,215903,USD
t000374,2026-01-10,4000,1000,6538,USD
t000375,2026-01-10,6000,1000,35041,USD
t000376,2026-01-10,4000,2000,370,USD
t000377,2026-01-10,1000,3000,142546,USD
t000378,2026-01-10,2000,1000,8572,USD
t000379,2026-01-10,1000,4471,2761,USD
t000380,2026-01-10,1200,3000,4246,USD
t000381,2026-01-10,2000,1000,36100,USD
t000382,2026-01-10,4000,2000,3657,USD
t000383,2026-01-10,1000,3000,110137,USD
t000384,2026-01-10,1200,3000,244805,USD
t000385,2026-01-10,2000,1000,3144,USD
t000386,2026-01-10,1200,3000,7421,USD
t000387,2026-01-10,6000,1000,114651,USD
t000388,2026-01-10,6000,1000,102613,USD
t000389,2026-01-10,2000,1000,238282,USD
t000390,2026-01-10,2000,1000,247353,USD
t000391,2026-01-10,6000,1000,7727,USD
t000392,2026-01-10,4000,1000,65618,USD
t000393,2026-01-10,1200,3000,182038,USD
t000394,2026-01-10,1200,3000,157932,USD
t000395,2026-01-10,6000,1000,54470,USD
t000396,2026-01-10,4000,1000,545,USD
t000397,2026-01-10,1000,3000,7445,USD
t000398,2026-01-10,4000,1000,48013,USD
t000399,2026-01-10,1000,1200,53713,USD
t000400,2026-01-11,4000,1000,3569,USD
t000401,2026-01-11,2000,1000,40843,USD
t000402,2026-01-11,4000,2000,681,USD
t000403,2026-01-11,1200,3000,2450,USD
t000404,2026-01-11,4000,2000,3932,USD
t000405,2026-01-11,4000,1000,105797,USD
t000406,2026-01-11,1000,3000,219672,USD
t000407,2026-01-11,1000,4471,111705,USD
t000408,2026-01-11,4000,2000,138301,USD
t000409,2026-01-11,4000,2000,967,USD
t000410,2026-01-11,4000,2000,244198,USD
t000411,2026-01-11,2000,1000,210454,USD
t000412,2026-01-11,4471,3000,240452,USD
t000413,2026-01-11,1200,3000,4589,USD
t000414,2026-01-11,4000,2000,222401,USD
t000415,2026-01-11,4000,2000,182172,USD
t000416,2026-01-11,4000,2000,46246,USD
t000417,2026-01-11,1000,3000,10517,USD
t000418,2026-01-11,1200,3000,19104,USD
t000419,2026-01-11,1000,1200,6082,USD
t000420,2026-01-11,1000,3000,151313,USD
t000421,2026-01-11,2000,1000,71262,USD
t000422,2026-01-11,4000,1000,4416,USD
t000423,2026-01-11,1000,3000,110615,USD
t000424,2026-01-11,1000,3000,172819,USD
t000425,2026-01-11,1000,3000,2920,USD
t000426,2026-01-11,1000,1200,141155,USD
t000427,2026-01-11,2000,1000,4593,USD
t000428,2026-01-11,4471,3000,52900,USD
t000429,2026-01-11,1000,3000,3513,USD
t000430,2026-01-11,1200,3000,234855,USD
t000431,2026-01-11,4000,2000,7431,USD
t000432,2026-01-11,6000,1000,129999,USD
t000433,2026-01-11,4000,1000,185300,USD
t000434,2026-01-11,6000,1000,2990,USD
t000435,2026-01-11,4000,1000,3841,USD
t000436,2026-01-11,2000,1000,7679,USD
t000437,2026-01-11,2000,1000,53534,USD
t000438,2026-01-11,2000,1000,30361,USD
t000439,2026-01-11,1200,3000,232223,USD
t000440,2026-01-12,1000,4471,53848,USD
t000441,2026-01-12,1000,3000,1903,USD
t000442,2026-01-12,1200,3000,5282,USD
t000443,2026-01-12,4471,3000,87288,USD
t000444,2026-01-12,2000,1000,42708,USD
t000445,2026-01-12,4000,1000,248894,USD
t000446,2026-01-12,1000,1200,3897,USD
t000447,2026-01-12,2000,1000,56650,USD
t000448,2026-01-12,1200,3000,167660,USD
t000449,2026-01-12,2000,1000,587,USD
t000450,2026-01-12,4000,1000,1695,USD
t000451,2026-01-12,1000,1200,4949,USD
t000452,2026-01-12,4000,1000,208784,USD
t000453,2026-01-12,1200,3000,128477,USD
t000454,2026-01-12,1000,1200,7711,USD
t000455,2026-01-12,4000,2000,232605,USD
t000456,2026-01-12,4471,3000,126142,USD
t000457,2026-01-12,4000,2000,245052,USD
t000458,2026-01-12,4471,3000,44552,USD
t000459,2026-01-12,4000,1000,5761,USD
t000460,2026-01-12,1200,3000,234988,USD
t000461,2026-01-12,4000,1000,91265,USD
t000462,2026-01-12,1200,3000,5830,USD
t000463,2026-01-12,1000,4471,134672,USD
t000464,2026-01-12,1200,3000,100959,USD
t000465,2026-01-12,6000,1000,214605,USD
t000466,2026-01-12,1000,1200,199,USD
t000467,2026-01-12,6000,1000,2352,USD
t000468,2026-01-12,4000,2000,167055,USD
t000469,2026-01-12,1200,3000,137227,USD
t000470,2026-01-12,1000,1200,119977,USD
t000471,2026-01-12,4000,2000,3780,USD
t000472,2026-01-12,4471,3000,227660,USD
t000473,2026-01-12,2000,1000,7808,USD
t000474,2026-01-12,2000,1000,219997,USD
t000475,2026-01-12,1000,3000,168640,USD
t000476,2026-01-12,2000,1000,237565,USD
t000477,2026-01-12,4000,1000,139939,USD
t000478,2026-01-12,6000,1000,127521,USD
t000479,2026-01-12,1000,1200,50892,USD
t000480,2026-01-13,4000,1000,223158,USD
t000481,2026-01-13,4000,2000,161570,USD
t000482,2026-01-13,1000,3000,248693,USD
t000483,2026-01-13,4000,2000,6812,USD
t000484,2026-01-13,4000,2000,168194,USD
t000485,2026-01-13,4000,1000,9261,USD
t000486,2026-01-13,1000,4471,30696,USD
t000487,2026-01-13,4471,3000,150902,USD
t000488,2026-01-13,6000,1000,76796,USD
t000489,2026-01-13,6000,1000,135173,USD
t000490,2026-01-13,4000,1000,127134,USD
t000491,2026-01-13,4000,1000,6395,USD
t000492,2026-01-13,2000,1000,33817,USD
t000493,2026-01-13,2000,1000,65564,USD
t000494,2026-01-13,1000,1200,80931,USD
t000495,2026-01-13,4000,2000,148690,USD
t000496,2026-01-13,4471,3000,2380,USD
t000497,2026-01-13,4471,3000,4633,USD
t000498,2026-01-13,2000,1000,224022,USD
t000499,2026-01-13,1200,3000,31677,USD
t000500,2026-01-13,4000,1000,190769,USD
t000501,2026-01-13,4000,1000,196216,USD
t000502,2026-01-13,6000,1000,133839,USD
t000503,2026-01-13,2000,1000,776,USD
t000504,2026-01-13,6000,1000,136630,USD
t000505,2026-01-13,1200,3000,12648,USD
t000506,2026-01-13,1000,4471,4568,USD
t000507,2026-01-13,4000,1000,232933,USD
t000508,2026-01-13,1000,1200,783,USD
t000509,2026-01-13,4000,1000,243562,USD
t000510,2026-01-13,4471,3000,196528,USD
t000511,2026-01-13,6000,1000,6618,USD
t000512,2026-01-13,1200,3000,122428,USD
t000513,2026-01-13,1000,1200,133927,USD
t000514,2026-01-13,1000,3000,223770,USD
t000515,2026-01-13,4000,2000,15684,USD
t000516,2026-01-13,4000,2000,216964,USD
t000517,2026-01-13,4471,3000,137702,USD
t000518,2026-01-13,1000,4471,53095,USD
t000519,2026-01-13,1000,4471,135077,USD
t000520,2026-01-14,1000,1200,4916,USD
t000521,2026-01-14,1000,3000,4729,USD
t000522,2026-01-14,2000,1000,213451,USD
t000523,2026-01-14,1200,3000,107172,USD
t000524,2026-01-14,1000,1200,57759,USD
t000525,2026-01-14,6000,1000,74882,USD
t000526,2026-01-14,4000,1000,30593,USD
t000527,2026-01-14,1200,3000,194085,USD
t000528,2026-01-14,1200,3000,4188,USD
t000529,2026-01-14,4000,2000,1994,USD
t000530,2026-01-14,1000,1200,149249,USD
t000531,2026-01-14,2000,1000,5820,USD
t000532,2026-01-14,1000,1200,58176,USD
t000533,2026-01-14,4471,3000,23871,USD
t000534,2026-01-14,4000,1000,181723,USD
t000535,2026-01-14,4000,2000,1243,USD
t000536,2026-01-14,1000,4471,9143,USD
t000537,2026-01-14,6000,1000,1318,USD
t000538,2026-01-14,4471,3000,244268,USD
t000539,2026-01-14,1000,1200,101089,USD
t000540,2026-01-14,6000,1000,238420,USD
t000541,2026-01-14,2000,1000,155284,USD
t000542,2026-01-14,1000,1200,206404,USD
t000543,2026-01-14,1000,3000,1890,USD
t000544,2026-01-14,6000,1000,218132,USD
t000545,2026-01-14,6000,1000,15212,USD
t000546,2026-01-14,1000,3000,7000,USD
t000547,2026-01-14,1000,3000,7574,USD
t000548,2026-01-14,2000,1000,72836,USD
t000549,2026-01-14,1000,1200,209316,USD
t000550,2026-01-14,1000,3000,632,USD
t000551,2026-01-14,4000,2000,1659,USD
t000552,2026-01-14,1000,4471,112528,USD
t000553,2026-01-14,1000,3000,96772,USD
t000554,2026-01-14,6000,1000,109684,USD
t000555,2026-01-14,4000,1000,49534,USD
t000556,2026-01-14,1000,3000,103814,USD
t000557,2026-01-14,6000,1000,131404,USD
t000558,2026-01-14,4000,2000,1834,USD
t000559,2026-01-14,2000,1000,1807,USD
t000560,2026-01-15,4000,2000,93004,USD
t000561,2026-01-15,2000,1000,150304,USD
t000562,2026-01-15,6000,1000,2110,USD
t000563,2026-01-15,6000,1000,127143,USD
t000564,2026-01-15,1000,4471,89836,USD
t000565,2026-01-15,1200,3000,216048,USD
t000566,2026-01-15,4000,2000,33073,USD
t000567,2026-01-15,4000,1000,30074,USD
t000568,2026-01-15,4000,2000,4969,USD
t000569,2026-01-15,4471,3000,47678,USD
t000570,2026-01-15,4000,2000,3795,USD
t000571,2026-01-15,1000,1200,741,USD
t000572,2026-01-15,4000,1000,8124,USD
t000573,2026-01-15,4000,1000,82817,USD
t000574,2026-01-15,1000,4471,174886,USD
t000575,2026-01-15,4000,1000,6457,USD
t000576,2026-01-15,1000,1200,6688,USD
t000577,2026-01-15,1000,4471,211742,USD
t000578,2026-01-15,4000,2000,8955,USD
t000579,2026-01-15,6000,1000,189109,USD
t000580,2026-01-15,1200,3000,4156,USD
t000581,2026-01-15,1000,3000,32538,USD
t000582,2026-01-15,1000,3000,30607,USD
t000583,2026-01-15,4471,3000,189556,USD
t000584,2026-01-15,1000,3000,165482,USD
t000585,2026-01-15,1000,4471,102855,USD
t000586,2026-01-15,1200,3000,223096,USD
t000587,2026-01-15,6000,1000,246159,USD
t000588,2026-01-15,6000,1000,3657,USD
t000589,2026-01-15,4000,1000,147370,USD
t000590,2026-01-15,2000,1000,1995,USD
t000591,2026-01-15,1200,3000,42567,USD
t000592,2026-01-15,1000,3000,142743,USD
t000593,2026-01-15,6000,1000,94729,USD
t000594,2026-01-15,2000,1000,59663,USD
t000595,2026-01-15,4000,2000,23833,USD
t000596,2026-01-15,4471,3000,385,USD
t000597,2026-01-15,4000,1000,236031,USD
t000598,2026-01-15,1000,1200,50023,USD
t000599,2026-01-15,1000,3000,34305,USD
t000600,2026-01-16,4000,1000,107580,USD
t000601,2026-01-16,4000,1000,6047,USD
t000602,2026-01-16,1200,3000,123443,USD
t000603,2026-01-16,1000,1200,62045,USD
t000604,2026-01-16,2000,1000,132708,USD
t000605,2026-01-16,6000,1000,235627,USD
t000606,2026-01-16,4471,3000,3786,USD
t000607,2026-01-16,1000,3000,228169,USD
